3.410000,1676,6077519-the-real-real
4.050000,170789,5421888-when-you-are-engulfed-in-flames
3.690000,1944,5389668-dropped-dead-stitch
3.610000,84421,4954645-the-story-of-edgar-sawtelle
4.000000,1329,6226041-overqualified
3.730000,1627,5925086-at-least-in-the-city-someone-would-hear-me-scream
3.820000,1269,6060196-you-couldn-t-ignore-me-if-you-tried
3.640000,1104,5644891-shelf-discovery
3.690000,1238,5668391-my-father-s-tears-and-other-stories
3.760000,851,6004710-black-and-white
3.700000,1689,6564154-notturno
2.720000,1715,6065178-in-the-kitchen
3.660000,604,6058223-just-food
3.370000,1576,5587088-the-pretend-wife
3.520000,1098,6415806-heroic-measures
3.860000,770,4964367-some-things-that-meant-the-world-to-me
3.900000,1274,6100790-23-hours
3.570000,837,5818514-mean-little-deaf-queer
4.170000,73151,6454694-my-life-in-france
3.130000,1169,6383248-mercury-in-retrograde
3.110000,1339,895304.Queen_Takes_King
3.410000,16690,6149509-netherland
3.440000,1027,6041009-faeries-gone-wild
3.340000,1081,5941143-the-waters-the-wild
3.420000,1740,5978522-hothouse-flower-and-the-nine-plants-of-desire
2.970000,948,5711662-touch
3.550000,731,6297349-why-is-my-mother-getting-a-tattoo
3.760000,925,6314749-the-state-of-jones
2.820000,708,6304264-the-wish-maker
3.590000,822,6044578-a-hint-of-wicked
3.710000,836,6005167-the-motion-of-the-ocean
2.970000,912,5978033-trouble
4.070000,61659,6216972-pope-joan
3.310000,838,6373379-the-widow-s-season
3.530000,402,5227801-nothing-but-ghosts
3.170000,706,5841747-you-or-someone-like-you
4.010000,165862,6069739-dead-and-gone
4.060000,24522,6460577-the-coffin-club
3.490000,681,6067302-lime-tree-can-t-bear-orange
4.030000,143639,7205104-the-tale-of-despereaux
3.690000,32791,5559333-memoirs-of-a-teenage-amnesiac
2.900000,400,6092814-the-embers
4.180000,175016,6319969-unwind
3.770000,30,6593439-leyla-s-locket
4.150000,531035,5983062-the-guernsey-literary-and-potato-peel-pie-society
4.070000,321222,4633087-snow-flower-and-the-secret-fan
4.230000,270408,406581.A_Prayer_for_Owen_Meany
4.130000,2293414,2429135.The_Girl_with_the_Dragon_Tattoo
4.110000,309648,3063499-the-lucky-one
4.050000,260841,2248573.Brisingr
3.950000,205272,2866718-untamed
3.800000,92956,3213286-let-it-snow
3.840000,69994,2921082-the-maze-of-bones
4.330000,85305,2702704-faefever
4.190000,56666,2845024-anathem
4.100000,33770,2054761.The_Snowball
3.650000,39218,2241558.The_Other_Queen
3.730000,47188,2807199-american-wife
3.870000,47642,3257136-dewey
3.830000,26187,2954411-living-dead-girl
3.770000,30605,3181953-the-heretic-s-daughter
4.580000,36816,3165162-percy-jackson-and-the-olympians
3.980000,32835,3289281-when-will-there-be-good-news
4.210000,20223,2897258-the-heretic-queen
4.100000,30381,2653622-the-keepsake
4.210000,30472,2479827.Eragon_Eldest_Brisingr
4.000000,18675,2924318-home
3.540000,12638,2791536-skinned
3.340000,24653,2804776-one-fifth-avenue
3.450000,65588,3302985-the-zookeeper-s-wife
4.100000,14840,4016515-letter-to-my-daughter
4.220000,24686,3115070-hostage-to-pleasure
3.640000,17050,3188580-impossible
4.170000,22383,3080212-heat-lightning
4.050000,17718,2983654-sweetheart
3.690000,12567,2358737.Hot_Flat_and_Crowded
3.810000,128611,5552635-olive-kitteridge
4.320000,14595,2801577-eclipse
3.970000,10622,2273246.Dead_Is_the_New_Black
4.120000,8677,2517439.The_Forever_War
3.800000,13078,2828595-chalice
4.020000,14917,2854962-charlie-bone-and-the-shadow
4.200000,7482,2634030-the-road-of-lost-innocence
4.320000,13371,2444135.Dark_Curse
