3.44,44520192
3.93,21333640
4.26,41590197
3.94,30036082
4.72,43718887
3.52,6389599
3.95,30844659
3.66,6164497
4.29,31420367
3.44,44520192
4.26,41590197
3.52,6389599
3.95,30844659
3.66,6164497
3.66,45302017
3.84,33837508
3.94,30036082
4.30,17259418
4.72,43718887
3.93,21333640
3.95,41317900
4.29,31420367
3.44,44520192
3.52,6389599
4.26,41590197
3.95,30844659
3.94,30036082
3.66,45302017
3.66,6164497
4.72,43718887
3.84,33837508
4.30,17259418
3.93,21333640
3.95,41317900
4.64,21130273
4.30,38566426
4.07,4827394
3.51,8369479
3.85,11928406
3.92,3288713
3.73,21223898
3.59,3941502
3.99,25932879
3.77,38672507
4.05,7065592
3.79,5802057
3.85,36241226
3.80,27112033
4.11,59267821
4.20,136210
4.00,29515369
3.84,33837508
4.72,43718887
3.44,44520192
3.85,45124366
3.94,30036082
3.16,43362597
3.57,7145063
3.94,27788396
3.71,15725893
3.65,55382138
3.59,5932729
3.87,41311366
4.18,69242701
3.59,13970804
3.80,27112033
3.92,3288713
3.77,38672507
4.05,7065592
3.68,5793303
4.04,16969745
4.03,42331295
3.66,21250003
3.48,5803057
3.41,68538597
4.07,3759963
3.74,6442247
4.10,19673751
3.44,11644136
3.38,36293066
4.40,6313408
3.64,623325
3.86,743812
3.88,75568220
4.60,424081
3.68,8763629
3.51,17338102
3.89,21874204
3.90,20690455
4.04,4300799
3.36,1383849
3.21,4492524
5.00,7940023
5.00,14371489
4.96,6047202
4.12,20820943
3.92,40658896
4.19,5000820
4.10,1676652
4.71,44316597
3.62,2458849
5.00,75294691
3.94,2175743
4.00,8703908
3.83,10714543
4.05,21282584
3.78,2095414
3.89,5825426
3.50,1788562
4.07,16045723
4.45,22851861
4.67,8466377
4.35,90678466
4.99,9063606
2.37,4139852
4.08,4758827
4.24,66472453
5.00,40013599
5.00,89404699
4.87,17783558
4.07,6011878
4.59,14127593
3.00,57521794
4.80,16681382
4.99,2550422
4.66,55243602
4.79,51567676
2.92,33056406
5.00,43037451
4.78,48933138
4.67,32209959
4.81,13044614
4.91,21970242
3.68,10133386
4.74,5452148
4.27,34924851
4.37,18587108
3.94,2680666
4.42,9334261
3.94,14564549
3.96,5610175
4.51,4177424
3.83,12752634
4.44,7233875
3.89,14954387
4.45,44024393
4.97,59810859
4.43,82456930
4.30,6603203
4.80,95037461
3.65,3323614
4.24,48849592
3.81,9183912
4.42,68204511
4.97,83859001
4.44,4159375
4.40,25184986
4.96,32846049
4.44,16803660
4.28,5654159
4.62,13405839
4.57,3732393
4.35,52192620
4.50,13502700
4.87,79639839
4.32,3549751
4.88,23458269
3.78,18967379
4.20,95443142
4.02,12276990
3.94,71191369
3.46,5019882
3.84,59275887
4.29,41065958
3.67,16084030
3.82,50975574
4.19,62366428
4.24,27179072
4.06,24422512
4.07,36263567
3.71,58933685
3.85,56851085
3.12,55663479
4.70,31981165
4.34,14101495
3.96,36011607
4.30,5161821
4.23,8739507
4.32,9371278
4.14,84866272
3.93,14718086
3.89,1939743
4.55,16904824
4.59,21022730
3.46,7407050
4.03,3503432
4.47,53178802
3.64,623325
3.89,21874204
3.51,17338102
3.36,1383849
3.88,75568220
3.68,8763629
4.60,424081
3.90,20690455
4.04,4300799
3.21,4492524
5.00,7940023
5.00,14371489
4.96,6047202
3.92,40658896
4.12,20820943
4.10,1676652
4.00,8703908
4.71,44316597
3.62,2458849
4.19,5000820
3.94,2175743
3.83,10714543
3.50,1788562
5.00,75294691
